m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_QC2	P_A1-1	P_A2-1	P_A2-2	P_A3-1	P_A3-2
758.5736	5.929	M+0	False	False	184.0774;0.9276|184.1431;0.0217|185.0772;0.0507	17161114	17054526	16920516	16423963	17146412	16932512
874.7901	14.245	M+0	False	False	175.1463;0.0022|239.2377;0.0038|245.2273;0.0056|263.2396;0.0109|265.2534;0.0053|313.2739;0.0031|314.2777;0.0021|339.2929;0.009|573.4851;0.0021|575.51;0.2008|575.6378;0.006|576.5148;0.0958|576.638;0.0024|577.5241;0.1561|577.6668;0.0149|577.7474;0.0022|578.5306;0.0799|578.6567;0.0042|579.5316;0.0192|580.5288;0.0021|601.5272;0.1719|601.6659;0.008|602.5282;0.078|602.6594;0.0039|603.5406;0.0484|604.5378;0.0164|605.5438;0.0091|839.7473;0.0043|857.7633;0.0137|858.7654;0.0097|859.7678;0.0088	15793178	15975844	15515040	15666452	15169876	15436860
765.6203	7.094	M+0	False	False	184.0765;0.932|185.0777;0.068	12681297	12871645	13145805	13363507	12854642	13181408
872.7753	13.913	M+0	False	False	245.2284;0.0041|261.2217;0.0054|263.237;0.0153|264.2396;0.0038|313.2731;0.0035|319.2597;0.0035|337.2742;0.0036|339.2884;0.0033|573.4914;0.0969|573.6104;0.0031|574.5024;0.0406|575.5098;0.2701|576.5144;0.121|576.6283;0.0032|577.5188;0.0249|578.5182;0.0038|599.5062;0.1071|599.557;0.0083|599.6316;0.0027|600.515;0.0603|601.5248;0.1013|601.6502;0.0051|602.5307;0.0369|603.5281;0.0071|837.7362;0.0069|855.7446;0.0241|856.7547;0.0234|857.7555;0.0108	12597086	12382460	12436602	12203015	11757806	11618755
541.5412	6.785	M+0	False	False	211.2061;0.0059|252.269;0.0432|253.2722;0.011|259.2822;0.0114|264.2726;0.5492|265.276;0.1586|266.2758;0.0102|282.2815;0.0747|283.2829;0.0144|493.5178;0.0188|494.5216;0.0056|505.5176;0.0181|506.5212;0.008|523.5284;0.0445|524.5322;0.0263	11834076	12073603	12089034	12390670	11960442	12258799
855.8215	14.466	M+0	False	False	239.2374;0.0093|265.2528;0.0081|318.3049;0.0071|555.5302;0.005|556.5384;0.169|557.5422;0.0696|558.542;0.0129|581.5449;0.0145|582.5562;0.4719|583.5601;0.1989|584.5584;0.0336	11393588	11486843	11892135	11594249	11857997	11769518
875.7936	14.245	M+1	True	False	163.148;0.005|177.1648;0.0024|221.226;0.0023|237.2216;0.0063|239.2382;0.0066|240.2412;0.0049|247.242;0.0026|248.2451;0.0023|263.2371;0.0071|264.2422;0.0073|265.2531;0.0098|266.2565;0.0065|313.2752;0.0033|314.2786;0.0029|339.2899;0.006|340.2952;0.0029|575.5111;0.0977|575.6394;0.0047|576.5136;0.2129|576.6584;0.0199|577.5256;0.1006|577.6407;0.0023|578.5318;0.1145|578.6674;0.0103|579.5332;0.0305|579.5842;0.0023|580.5304;0.007|601.5266;0.0585|602.529;0.1216|602.6592;0.0067|603.5404;0.0506|604.5484;0.0594|605.5465;0.015|606.5484;0.0024|858.7598;0.005	11346535	11639674	11171033	11284520	10896228	10885369
496.3426	1.566	M+0	False	False	184.0765;0.9504|185.0781;0.0496	11519316	11429877	11380289	11323206	11432393	11580985
759.5768	5.929	M+1	True	False	184.0764;0.8446|185.0783;0.1281|186.078;0.0273	10945938	10789670	10394899	10244498	10784156	10652602
786.6047	7.42	M+0	False	False	184.0769;0.9371|185.0772;0.0416|186.0778;0.0104|728.5281;0.0109	10900861	10735684	10500750	10432433	9987760	9919205
876.8057	14.499	M+0	False	False	239.236;0.0042|265.2534;0.0065|313.2748;0.0044|575.5058;0.0113|577.5249;0.3814|578.5295;0.1805|578.654;0.0095|579.529;0.0338|580.5282;0.0117|603.5408;0.2142|603.6718;0.0089|604.5436;0.0898|605.544;0.0357|859.7736;0.008	10411717	10847208	10642333	10535466	9933252	10241909
782.5734	5.651	M+0	False	False	184.0764;0.9424|185.0785;0.0576	10327592	10507652	9858078	9686429	9861176	9527799
666.6218	14.577	M+0	False	False	161.1314;0.0211|175.1476;0.0121|203.1781;0.0079|219.212;0.0118|243.2116;0.0111|287.2729;0.0079|369.356;0.6814|370.3584;0.1938|370.4543;0.0069|371.3602;0.0459	9474924	9854132	9950433	9155910	8502955	9045379
524.374	1.965	M+0	False	False	166.0624;0.0111|184.0769;0.8839|185.0778;0.0428|186.0794;0.0091|258.1113;0.012|341.3064;0.0185|506.3625;0.0225	9384573	9614999	9084370	9502956	9071145	9190005
784.5887	6.286	M+0	False	False	184.0769;0.9457|185.0769;0.0543	8289429	9045862	8460627	8447485	7414147	7658123
848.7741	14.17	M+0	False	False	237.2224;0.0031|239.2386;0.003|265.2534;0.0062|285.2436;0.0027|313.2726;0.0057|339.2902;0.0029|549.4938;0.2585|550.4956;0.0935|550.6112;0.0027|551.5008;0.0357|552.5112;0.0066|575.5071;0.1646|575.64;0.0103|576.5118;0.0658|577.5238;0.1521|577.6534;0.0085|578.5321;0.0513|579.5263;0.0215|603.5402;0.0588|604.5411;0.0259|605.542;0.0107|831.7436;0.0042|832.7479;0.0056	7748537	8201046	8194428	7777176	7558971	7724351
