m/z	RT	intensity
468.30917	3.423	720533.8
494.32547	3.684	1763328.2
544.34088	3.744	506858.8
520.34088	3.792	1678973.8
568.34064	3.818	871555.2
544.34113	3.918	4136725.2
482.3251	3.953	609743.0
520.34052	3.987	12768541.5
542.32324	3.987	624147.0
520.88959	3.992	224023.8
518.32239	4.243	601817.0
496.34052	4.243	9321334.8
546.35596	4.33	1335802.2
522.35736	4.439	1132103.5
991.6748	4.452	3112394.2
496.46637	4.456	707174.8
496.87775	4.456	1705630.0
496.56006	4.456	623960.0
496.34119	4.456	53395916.0
1013.6568	4.456	1195530.8
478.33105	4.456	1549627.0
554.39447	4.46	1407959.8
518.32275	4.46	3973612.8
522.35614	4.642	15673966.8
544.33862	4.642	793926.2
522.90631	4.651	226894.5
480.34628	4.82	1112763.8
548.37115	4.872	361873.0
482.36176	4.924	1342712.5
510.35651	4.929	1521292.0
508.37717	5.08	905977.0
524.37274	5.184	5326976.0
546.35461	5.188	300657.5
506.36212	5.397	588253.8
1047.7373	5.397	272670.5
524.50128	5.401	429579.5
524.59418	5.401	427149.8
524.3714	5.401	39468277.8
546.35437	5.406	2679358.5
524.922	5.406	1069356.0
582.42548	5.406	828597.8
550.38727	5.532	369864.0
510.39182	5.935	356576.0
803.5434	6.659	4481867.8
798.58856	6.659	1226934.0
391.28485	6.664	3506637.2
429.24118	6.664	435068.8
413.26724	6.664	1889426.5
435.32224	6.664	359912.5
449.33856	6.664	1165179.5
774.56433	7.671	1263980.8
790.56116	7.671	489636.2
774.56531	7.844	1210846.0
798.56586	7.853	716820.8
798.56519	8.221	895677.5
822.56543	8.555	492448.5
798.56537	8.611	1098187.0
802.59521	8.953	655166.8
802.59674	9.161	636814.2
826.59601	9.177	437831.0
469.36526	9.183	314835.5
675.54352	9.473	3563237.0
826.59637	9.593	469939.2
701.55902	9.75	6854405.8
780.55426	9.789	411289.2
754.53882	9.983	584934.5
826.59686	10.031	609981.0
730.53699	10.161	1600713.5
780.55353	10.209	908868.8
689.55981	10.248	2200111.5
830.57031	10.312	517388.5
756.55328	10.39	2423159.5
780.55481	10.572	6117798.5
806.56915	10.585	4115317.0
756.55469	10.719	3502382.0
768.55487	10.758	536789.8
804.55243	10.776	417736.2
840.62329	10.78	335835.2
782.56909	10.78	13550026.5
744.55469	10.945	1568470.2
761.63055	11.031	294324.2
725.55713	11.04	5094048.2
832.58624	11.048	468139.8
703.72296	11.057	1277895.5
703.83673	11.057	1297440.2
703.57556	11.057	90686138.0
703.96619	11.061	330102.8
706.53876	11.087	1959057.5
776.58075	11.087	492397.8
369.35184	11.122	440288.2
770.57019	11.139	482048.2
782.57111	11.17	3378994.5
828.55261	11.226	1687658.5
806.8454	11.23	452746.2
864.62384	11.235	1749664.8
806.72919	11.239	380611.2
806.56927	11.239	39252972.5
732.55457	11.326	4725433.5
729.59137	11.347	5217437.2
832.5863	11.421	1587513.0
887.56683	11.529	462281.5
904.59186	11.533	1604903.2
804.55176	11.551	4987724.2
782.84583	11.551	1458050.2
840.62299	11.551	7910611.8
782.72607	11.551	1542006.5
782.98248	11.551	380167.8
826.6076	11.551	655607.5
764.5235	11.551	548966.8
782.5722	11.551	102948072.0
705.59119	11.655	1853748.0
880.5921	11.685	489727.8
866.63995	11.706	962911.0
830.56915	11.706	562628.8
808.58582	11.724	16283918.2
1148.84534	11.732	271876.5
761.24103	11.732	299604.5
758.84326	11.732	2636864.5
758.57288	11.732	157064193.5
758.72333	11.732	2864965.0
759.57544	11.732	107247687.5
758.9798	11.732	1234819.8
802.60895	11.741	1080824.0
780.55194	11.741	8992829.8
816.62415	11.741	12317132.2
781.55627	11.741	4109807.2
848.53998	11.76	471251.5
717.59076	11.871	1114818.2
740.52374	11.875	396969.8
784.85498	11.932	309443.5
784.58527	11.932	34101935.5
806.5683	11.932	1388214.2
842.63934	11.932	1321073.5
784.74268	11.932	285790.5
790.57556	11.949	795228.8
820.58551	12.036	387367.5
716.52307	12.062	333258.0
796.58582	12.096	844628.2
746.56989	12.105	1253761.5
429.37402	12.139	401768.8
792.59131	12.191	1071771.5
866.63959	12.198	369760.2
784.58624	12.2	61421195.5
808.58527	12.2	8795398.0
784.74298	12.2	726677.5
784.8587	12.2	774585.0
786.2644	12.2	382364.2
842.6391	12.204	2822760.2
806.56799	12.204	2527309.0
772.58643	12.278	2048532.0
766.57489	12.295	7672942.8
748.52844	12.33	407878.2
818.60669	12.347	640395.2
796.58624	12.356	1614219.8
810.60193	12.399	4304458.2
429.37387	12.468	372828.0
792.5907	12.473	1819369.2
742.5741	12.516	6169920.0
768.59113	12.538	10126917.5
772.58649	12.538	4026050.5
784.58685	12.663	1504065.2
724.52905	12.676	913622.8
734.57019	12.689	8932160.2
792.62347	12.693	288361.2
852.66119	12.693	322713.8
794.60687	12.694	7413912.8
731.60614	12.694	10935130.0
753.58948	12.694	561142.2
756.55316	12.694	359120.8
810.60199	12.728	6656004.0
798.60358	12.728	554405.8
744.5907	12.728	3901336.0
856.58417	12.832	585897.0
834.60187	12.832	14287201.2
892.65503	12.849	840961.2
750.54407	12.858	854856.8
770.60663	12.884	1521410.5
782.56769	12.901	5342458.2
818.6394	12.901	6600363.2
760.99249	12.901	381965.0
760.74005	12.901	1505942.8
760.58673	12.901	109799779.8
804.62384	12.901	575793.0
760.85675	12.901	1519493.8
