m/z	RT	intensity
929.49036	1.436	368511.2
907.508	1.442	1495869.8
454.25827	1.455	33435703.2
455.26031	1.455	9298176.8
476.24023	1.455	2380778.0
512.31116	1.459	1322384.2
454.37875	1.459	377877.8
482.41342	2.1	290318.2
963.57117	2.136	358641.5
504.27045	2.149	1500398.8
482.2897	2.149	29709079.8
540.34241	2.153	984847.5
482.8176	2.153	786681.2
1019.63281	3.181	478287.5
510.54041	3.186	370119.2
510.32056	3.186	35762587.0
510.86334	3.186	1023355.0
510.44724	3.19	396601.2
532.30231	3.19	2051263.8
568.37286	3.19	1145715.8
538.57721	4.114	359733.8
538.35132	4.118	34939259.0
538.48145	4.118	399762.5
560.33282	4.123	1702886.5
538.909	4.123	940211.8
596.40369	4.123	992325.2
496.34119	4.461	633842.0
354.41016	4.921	734521.2
624.43512	4.938	1052869.8
566.95502	4.938	1029212.8
566.61359	4.938	412350.5
566.51575	4.938	437494.2
566.38251	4.938	35701204.8
588.36383	4.938	1774838.0
1187.81873	5.796	216900.2
595.00012	5.806	1466103.5
594.65143	5.806	652238.0
594.54956	5.806	662484.0
652.46649	5.806	1876427.2
594.41339	5.806	50272486.8
616.39502	5.806	2551949.0
622.58368	6.844	753349.0
622.4444	6.847	57519177.2
680.49762	6.847	2466537.0
622.68781	6.847	758156.2
623.0451	6.847	1585192.2
644.42603	6.847	3145699.5
652.09363	8.089	347439.5
672.45776	8.093	2817276.8
650.72522	8.093	783858.2
650.61829	8.093	754357.2
708.52893	8.093	2310835.8
650.47601	8.093	61138011.2
680.13788	9.51	404592.5
678.76099	9.513	740964.2
736.56	9.513	2340966.2
678.65259	9.513	749006.0
678.50708	9.513	61138182.0
700.48877	9.518	2705155.2
706.68732	11.067	773862.5
708.18292	11.074	391020.0
706.53912	11.076	65744940.8
706.79822	11.076	837971.0
764.59222	11.076	2535569.5
728.52094	11.076	2880434.8
758.57117	11.726	77710269.8
758.72485	11.726	978287.2
758.84064	11.726	1029126.8
816.62415	11.726	3524268.2
758.97412	11.726	220306.8
780.55298	11.726	3278094.8
760.23883	11.726	633300.5
579.48859	12.267	787118.0
614.52576	12.332	908409.5
734.57025	12.687	1927289.8
762.25574	12.903	543320.2
818.64032	12.903	2834981.2
782.56909	12.903	2834378.2
760.58734	12.903	70513878.8
760.74115	12.903	915702.0
760.85699	12.903	937732.2
593.45526	13.077	596451.8
588.49994	13.093	450658.2
663.4552	13.094	14629118.2
685.43616	13.094	1661983.2
721.50726	13.094	27511251.5
707.49176	13.094	2141951.5
680.48157	13.094	8311612.8
1383.95398	13.094	1351254.8
786.60291	13.111	974816.5
604.49445	13.15	861871.8
609.44977	13.163	806782.2
579.43933	13.358	1198038.2
557.45728	13.362	1019592.8
615.51019	13.367	953780.0
574.48328	13.371	1493694.0
369.35315	13.375	1337798.5
630.50958	13.427	872642.8
635.4649	13.427	754262.0
679.57806	13.458	513415.2
649.56702	13.514	1625128.2
612.49933	13.579	620664.2
653.526	13.579	2712004.8
673.55298	13.735	1490606.5
687.56836	14.029	676028.8
762.60193	14.289	497751.0
595.47046	14.359	1445643.5
631.54175	14.446	1300092.2
640.53064	14.466	971089.8
788.61865	14.51	65471792.5
788.89276	14.51	906668.8
810.60046	14.51	2407698.0
846.67163	14.51	2219897.2
789.2962	14.51	1573243.2
558.4892	14.627	4597329.0
563.44464	14.653	3057402.2
585.50012	14.653	2069202.2
599.51544	14.657	10662385.8
735.55542	14.743	1812387.2
730.59961	14.748	4426704.5
611.51538	14.774	761147.5
570.48907	14.774	541658.8
670.55334	14.852	1199849.2
612.49976	14.856	679047.2
634.48145	14.861	571385.0
613.52985	14.895	765447.8
695.56152	15.523	2391638.5
717.54382	15.523	1660974.0
753.61548	15.536	3263761.0
739.6001	15.536	498730.8
584.50427	15.536	783236.2
625.53088	15.536	2245589.5
771.62616	15.536	541238.5
730.59924	15.553	3160807.2
735.55493	15.553	993844.5
548.50433	15.57	1442181.8
589.53064	15.57	868699.0
712.58893	15.57	869883.8
475.41626	15.571	507686.0
629.52606	15.756	937861.5
848.68707	15.808	2551327.2
790.79089	15.813	1009531.2
812.61597	15.813	3007267.5
790.63385	15.813	74483016.5
790.90887	15.813	1040340.8
735.6051	15.865	477200.2
746.59375	16.371	898483.5
719.55878	16.54	3104160.2
755.63	16.54	6245055.2
714.60339	16.544	10472205.8
741.61462	16.546	1186192.8
703.56378	16.648	4602229.8
739.6347	16.661	8868479.8
698.6076	16.661	2820548.2
645.56055	16.662	566509.0
681.58148	16.666	1385255.0
663.57117	16.666	1049785.8
725.6192	16.666	1381301.5
714.60352	16.713	6164208.2
723.60413	16.713	1183513.0
679.56653	16.713	941302.5
696.5929	16.713	3463680.8
737.61957	16.718	7345101.0
730.59875	16.718	2167329.0
701.54858	16.722	917968.2
755.63013	16.731	1929737.0
771.62555	16.731	1511633.8
737.61932	16.938	3513646.0
1211.94983	16.973	263478.2
579.53448	16.982	38044220.2
579.66895	16.982	535432.2
579.76697	16.982	534801.5
1211.10962	16.982	15235085.0
580.11444	16.982	807465.8
1216.06458	16.982	8863673.8
597.5451	16.99	11374961.5
641.58319	16.99	3931575.5
655.59833	16.99	6980548.2
1311.14014	16.99	815922.8
1293.13	16.99	805370.0
818.66406	16.99	1005171.0
614.5719	16.99	62886118.8
619.52734	16.99	7576610.5
615.16925	16.99	1710855.0
614.81409	16.99	867904.8
614.71069	16.99	952221.5
714.60339	17.012	4715780.8
1316.09558	17.025	746207.5
755.63007	17.029	6977255.5
741.61462	17.038	1527781.8
1298.08557	17.054	408221.0
723.60358	17.06	1322221.8
737.61871	17.068	7983498.5
696.5921	17.077	2470976.5
679.56573	17.077	1334932.2
719.55872	17.083	636683.5
701.54834	17.094	751696.5
698.60687	17.129	1999142.8
703.56287	17.146	1477504.5
711.60333	17.198	429860.0
638.55017	17.233	492004.8
647.45807	17.254	833479.0
739.63452	17.58	1174077.0
668.56104	17.709	970349.5
710.61926	17.722	699831.5
652.56598	17.722	1661200.0
737.61914	17.726	2843370.5
701.54803	17.727	629029.8
696.59338	17.731	962871.0
1267.51416	17.986	260553.5
1267.3689	17.989	306577.2
1267.17212	17.99	17183976.8
608.16003	17.99	946485.2
607.56592	17.99	40808734.0
1294.18237	17.994	345109.2
1269.03491	17.994	233535.8
642.96167	17.995	382614.0
643.21375	17.995	2286426.0
647.55835	17.995	8133028.8
642.74451	17.995	1246166.0
642.60345	17.995	77499741.5
625.57648	17.995	10547764.8
1272.12695	17.995	7776452.8
607.8045	17.995	626522.2
669.61414	17.995	6261646.8
607.703	17.995	632636.8
341.30453	17.995	405004.2
642.85132	17.995	1136494.8
683.62988	17.995	11369348.0
737.61938	18.064	533964.5
1420.20667	18.177	1032015.8
1379.18103	18.177	3178822.2
1384.13623	18.177	2257102.5
563.4823	18.181	677517.0
369.35159	18.185	2979873.0
1406.19128	18.185	741828.0
645.56049	18.185	1132542.0
680.59766	18.185	6232713.2
703.56366	18.185	6831536.8
739.63464	18.185	23768191.2
725.61926	18.185	6775792.0
663.57117	18.185	3919220.8
698.60803	18.185	12843197.8
647.57562	18.186	2562098.0
540.47742	18.186	475142.2
740.28955	18.186	330428.8
491.46146	18.194	752978.0
367.33594	18.203	962788.5
723.63977	18.272	1935232.2
709.6236	18.272	562967.0
687.56805	18.298	733822.5
1384.18616	18.48	514522.2
1348.11572	18.48	519975.2
1343.16028	18.48	302114.0
707.60779	18.48	4150709.0
721.62384	18.48	21586608.0
685.55231	18.48	3784051.5
663.57019	18.484	10047022.5
727.63452	18.636	556335.2
705.57861	18.636	1591180.0
741.64984	18.64	1866487.8
700.6228	18.64	2216022.0
649.591	18.653	530814.5
725.61877	18.787	675746.0
739.63385	18.787	3485062.5
698.60724	18.791	1092981.2
670.6333	18.826	494012.0
665.58514	18.849	564535.2
723.63849	18.861	2785805.2
687.5675	18.861	581332.2
709.62323	18.861	557659.5
703.5415	19.311	492980.8
723.63824	19.311	7126617.2
665.58514	19.311	471446.2
709.62274	19.311	1750245.8
687.56708	19.311	1929305.8
682.61163	19.315	2523927.5
725.65424	19.709	1578202.0
711.63892	19.71	403788.8
684.62756	19.71	470094.8
977.84802	19.727	894363.8
936.82129	19.727	2232708.2
941.77692	19.727	1035317.2
894.75458	19.796	868118.5
691.54132	20.069	557446.8
686.58569	20.073	755388.2
959.83826	20.091	576485.8
700.60162	20.194	990897.8
937.79578	20.211	1730699.8
901.72522	20.211	737512.5
896.76947	20.211	2199092.8
693.55811	20.454	6056435.8
1360.37537	20.471	232840.0
1359.16907	20.471	15225456.2
688.98901	20.472	368298.2
1360.05933	20.472	273778.5
729.62903	20.476	18346580.2
671.57593	20.476	2642528.8
688.60272	20.476	85925201.8
715.6134	20.476	13977173.2
688.85992	20.476	1201844.2
688.74872	20.476	1337403.8
1386.17944	20.476	1025845.8
369.35141	20.489	3800204.0
872.76947	20.575	2317174.8
913.79614	20.588	1307281.5
898.78467	20.61	3347857.8
939.81122	20.614	2011117.5
925.79596	20.614	834474.5
903.74054	20.627	725517.2
669.55786	20.696	523627.2
664.60107	20.696	1483050.0
705.62805	20.697	481404.5
691.61298	20.697	526538.2
702.61713	20.714	571017.5
848.77032	20.945	684919.0
874.78467	20.965	1623767.0
915.81128	20.965	778763.2
941.82697	21.025	1052835.8
900.80029	21.043	2610254.0
671.57336	21.155	3876370.5
649.59161	21.155	794204.5
1315.55481	21.155	557714.5
1315.40051	21.155	602775.5
1315.20142	21.155	34586460.5
666.98352	21.159	401191.8
666.87073	21.16	1202946.5
1356.22742	21.16	837576.8
1342.2113	21.16	2267487.8
666.76196	21.16	1336417.0
707.6449	21.16	15310158.0
666.61853	21.16	81340964.0
693.62939	21.16	10682581.8
369.35144	21.164	5058076.5
850.78583	21.285	64163329.5
850.94769	21.285	952101.0
877.79626	21.285	7492501.5
891.81171	21.285	15287866.8
577.51837	21.285	496969.0
851.07117	21.285	941194.0
852.49329	21.285	799175.8
855.74023	21.298	4272244.2
871.71423	21.32	500668.8
876.8006	21.35	842093.0
902.81659	21.389	1130609.8
1089.93079	21.424	503950.0
651.60718	21.597	615644.2
1293.21716	21.601	640820.0
673.58881	21.61	3906488.0
709.66034	21.61	15535225.8
668.63483	21.614	92038724.0
668.88666	21.614	1424968.8
1302.20654	21.614	2541092.5
1019.95166	21.614	1034605.5
668.77679	21.614	1640512.5
1319.23206	21.614	77815703.8
1319.42957	21.614	1335882.8
1319.58691	21.614	1268108.0
1321.23828	21.614	39323751.5
668.99908	21.619	499324.5
1360.25647	21.623	2232768.0
369.35159	21.627	12376053.0
1346.24036	21.632	3804992.2
695.64429	21.658	6045348.2
1443.15625	21.701	1407120.5
905.12354	21.774	573365.8
905.5575	21.774	885581.5
904.99933	21.774	485909.0
904.83173	21.779	38905206.8
945.85797	21.779	10189629.2
931.84338	21.783	6138509.5
909.78687	21.783	3573191.2
925.76105	21.787	523071.5
972.81555	21.974	581834.0
1092.93079	22.653	845357.8
1411.17102	22.943	3027689.0
1393.15967	23.151	851605.0
973.90625	23.372	539421.0
937.83423	23.375	477497.8
932.87854	23.376	1750754.0
959.88983	23.376	779926.2
915.85303	23.381	381884.5
1361.17273	24.229	485528.5
