name,class,adduct,mz,rt_ref_min,irt,rt_obs_min,intensity,n_candidates,endogenous,void
PC 9:0_9:0,PC,[M+H]+,538.3503314000001,1.81,4.655172413793104,2.112,,2,False,True
PC 12:0_12:0,PC,[M+H]+,622.4442314,3.6,14.942528735632186,3.401,,1,False,False
PC 13:0_13:0,PC,[M+H]+,650.4755324,4.52,20.22988505747126,4.531,,1,False,False
PC 14:0_14:0,PC,[M+H]+,678.5068324,5.63,26.60919540229885,5.638,,1,False,False
PC 16:0_18:3,PC,[M+H]+,756.5537824,6.63,32.356321839080465,6.465,,2,True,False
PC 16:0_18:2,PC,[M+H]+,758.5694324,7.37,36.60919540229885,7.367,,2,True,False
PC 16:0_18:1,PC,[M+H]+,760.5850824,8.4,42.52873563218391,8.407,,1,True,False
PC 18:0_18:1,PC,[M+H]+,788.6163824,9.79,50.51724137931034,9.832,,1,True,False
PC 18:0_18:0,PC,[M+H]+,790.6320324000001,11.07,57.87356321839081,11.071,,3,True,False
DG 16:0_18:0,DG,[M+NH4]+,614.5718013999999,12.65,66.95402298850576,12.708,,1,True,False
DG 18:0_18:0,DG,[M+NH4]+,642.6031013999999,14.99,80.40229885057472,15.011,,1,True,False
CE 20:5,CE,[M+NH4]+,688.6027064,17.37,94.08045977011496,17.409,,1,False,False
CE 18:1,CE,[M+NH4]+,668.6340064,18.39,99.9425287356322,18.42,,2,False,False
