m/z,RT,RI,RI_uncertainty,RI_reliability,RI_spread,n_contributing,is_extrapolated,calibration_scope,warp_source
758.5694,7.394,36.74892342996834,0.7317524423405336,medium,,1,False,project,self
765.6162,8.434,42.68117981688401,0.45828903391820314,high,,1,False,project,self
666.6185,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
786.601,8.762,44.51689158425089,0.452023753675568,high,,1,False,project,self
782.5693,7.149,35.56399787971161,0.80570372436457,medium,,1,False,project,self
496.3394,2.001,,,none,,1,True,project,self
759.5718,7.394,36.74892342996834,0.7317524423405336,medium,,1,False,project,self
874.7858,17.791,96.28681183760887,0.4163093374032164,high,,1,False,project,self
760.5857,8.407,42.52873563218391,0.4588105867027442,high,,1,False,project,self
766.6191,8.434,42.68117981688401,0.45828903391820314,high,,1,False,project,self
876.8014,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
723.5697,8.762,44.51689158425089,0.452023753675568,high,,1,False,project,self
667.6214,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
787.6038,8.762,44.51689158425089,0.452023753675568,high,,1,False,project,self
617.5874,11.125,58.18284466271518,0.4772196878645844,high,,1,False,project,self
524.3707,2.605,9.1667929688547,1.7657868319303212,medium,,1,False,project,self
541.5382,8.216,41.43118465190165,0.5031992228227415,high,,1,False,project,self
783.5718,7.149,35.56399787971161,0.80570372436457,medium,,1,False,project,self
855.8168,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
671.6525,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
369.3515,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
703.5748,6.876,34.36210321181683,0.8899423842639836,medium,,1,False,project,self
810.601,8.543,43.29420471828484,0.4561924139234846,high,,1,False,project,self
875.7885,17.791,96.28681183760887,0.4163093374032164,high,,1,False,project,self
372.37,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
784.5852,7.75,38.70941751916342,0.6273768477675145,medium,,1,False,project,self
877.8046,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
872.7701,17.464,94.39726347911052,0.37076178714814767,high,,1,False,project,self
362.3309,2.849,11.156539833289731,1.7657868319303212,medium,,1,False,project,self
859.606,6.383,31.869479375478203,0.9891615078347153,medium,,1,False,project,self
1316.2067,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
1315.2038,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
527.3862,2.114,4.6746486504363585,1.7657868319303212,medium,,1,False,project,self
761.5889,8.407,42.52873563218391,0.4588105867027442,high,,1,False,project,self
771.5901,6.63,33.224864463122195,0.9671798637363596,medium,,1,False,project,self
848.7702,17.737,95.97412978067177,0.40081163726969904,high,,1,False,project,self
391.284,3.598,16.009873275750035,1.5892809474355125,medium,,1,False,project,self
856.8202,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
523.5276,8.216,41.43118465190165,0.5031992228227415,high,,1,False,project,self
1325.2704,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
724.5729,8.762,44.51689158425089,0.452023753675568,high,,1,False,project,self
902.817,18.147,98.35331427877243,0.386952296561277,high,,1,False,project,self
497.3424,2.001,,,none,,1,True,project,self
690.6184,17.819,96.44903346996075,0.42501538556197704,high,,1,False,project,self
850.7862,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
784.5851,7.53,37.474594546020136,0.6911798129080721,medium,,1,False,project,self
806.5689,6.821,34.118020310186445,0.9071138138821969,medium,,1,False,project,self
1082.0696,8.243,41.588156152632564,0.4966380361280953,high,,1,False,project,self
900.8012,17.846,96.60551772343122,0.4338105412427071,high,,1,False,project,self
873.7729,17.464,94.39726347911052,0.37076178714814767,high,,1,False,project,self
760.5748,7.394,36.74892342996834,0.7317524423405336,medium,,1,False,project,self
672.656,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
618.5905,11.125,58.18284466271518,0.4772196878645844,high,,1,False,project,self
811.604,8.543,43.29420471828484,0.4561924139234846,high,,1,False,project,self
369.3517,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
379.3574,2.849,11.156539833289731,1.7657868319303212,medium,,1,False,project,self
485.3394,2.191,5.417753353628811,1.7657868319303212,medium,,1,False,project,self
704.5774,6.875,34.357695707047135,0.8902540498638267,medium,,1,False,project,self
1326.2747,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
542.5413,8.216,41.43118465190165,0.5031992228227415,high,,1,False,project,self
785.5881,7.75,38.70941751916342,0.6273768477675145,medium,,1,False,project,self
522.3554,2.111,,,none,,1,True,project,self
1317.2099,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
860.6085,6.383,31.869479375478203,0.9891615078347153,medium,,1,False,project,self
849.7733,17.737,95.97412978067177,0.40081163726969904,high,,1,False,project,self
846.7544,17.382,93.92506906331587,0.3712262137020719,high,,1,False,project,self
1083.0726,8.243,41.588156152632564,0.4966380361280953,high,,1,False,project,self
812.617,9.118,46.493299361196016,0.5404502011151348,high,,1,False,project,self
788.6168,9.832,50.51724137931034,0.432548567226728,high,,1,False,project,self
903.82,18.147,98.35331427877243,0.386952296561277,high,,1,False,project,self
767.6221,8.434,42.68117981688401,0.45828903391820314,high,,1,False,project,self
1324.2637,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
525.3736,2.605,9.1667929688547,1.7657868319303212,medium,,1,False,project,self
344.3204,2.849,11.156539833289731,1.7657868319303212,medium,,1,False,project,self
901.804,17.846,96.60551772343122,0.4338105412427071,high,,1,False,project,self
788.6069,8.762,44.51689158425089,0.452023753675568,high,,1,False,project,self
782.569,6.52,32.65884498334711,1.0020447344272723,medium,,1,False,project,self
372.37,7.067,35.19828321956234,0.8308163825734621,medium,,1,False,project,self
338.3417,4.369,19.437541922742287,0.9139164942766881,medium,,1,False,project,self
668.6249,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
1323.2573,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
851.7895,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
898.7856,17.491,94.55290031443474,0.37076178714814767,high,,1,False,project,self
822.7547,17.71,95.8178777370412,0.3937519206197536,high,,1,False,project,self
668.6345,18.42,99.9425287356322,0.37076178714814767,high,,1,False,project,self
784.5747,7.149,35.56399787971161,0.80570372436457,medium,,1,False,project,self
1322.2533,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
370.3548,18.037,97.71394417377996,0.4166126975928003,high,,1,False,project,self
265.2524,2.849,11.156539833289731,1.7657868319303212,medium,,1,False,project,self
876.7917,17.791,96.28681183760887,0.4163093374032164,high,,1,False,project,self
772.5932,6.63,33.224864463122195,0.9671798637363596,medium,,1,False,project,self
670.6461,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
813.6843,11.125,58.18284466271518,0.4772196878645844,high,,1,False,project,self
691.6216,17.819,96.44903346996075,0.42501538556197704,high,,1,False,project,self
520.3396,1.757,,,none,,1,True,project,self
878.8079,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
384.3128,2.797,10.747460567833603,1.7657868319303212,medium,,1,False,project,self
807.572,6.821,34.118020310186445,0.9071138138821969,medium,,1,False,project,self
764.6107,8.434,42.68117981688401,0.45828903391820314,high,,1,False,project,self
785.5883,7.53,37.474594546020136,0.6911798129080721,medium,,1,False,project,self
373.3736,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
371.364,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
811.6689,9.888,50.841692664752124,0.43438376946272095,high,,1,False,project,self
582.5498,11.098,58.02843233554235,0.4768378225652588,high,,1,False,project,self
808.5847,7.286,36.204434843260294,0.7641706025269883,medium,,1,False,project,self
820.7388,17.354,93.76403206594367,0.3717139659412288,high,,1,False,project,self
847.7574,17.382,93.92506906331587,0.3712262137020719,high,,1,False,project,self
616.5816,11.125,58.18284466271518,0.4772196878645844,high,,1,False,project,self
787.6688,11.207,58.64915084495197,0.4783817091970373,high,,1,False,project,self
991.6714,2.001,,,none,,1,True,project,self
899.7885,17.491,94.55290031443474,0.37076178714814767,high,,1,False,project,self
664.603,17.627,95.33793815446221,0.3752498814459989,high,,1,False,project,self
528.3894,2.114,4.6746486504363585,1.7657868319303212,medium,,1,False,project,self
524.531,8.243,41.588156152632564,0.4966380361280953,high,,1,False,project,self
242.2841,1.09,,,none,,1,True,project,self
1327.2784,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
214.0896,23.105,,,none,,1,True,project,self
854.811,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
834.6008,8.188,41.267949283566935,0.5100928041461793,high,,1,False,project,self
813.6199,9.118,46.493299361196016,0.5404502011151348,high,,1,False,project,self
363.3342,2.849,11.156539833289731,1.7657868319303212,medium,,1,False,project,self
731.6066,8.27,41.74463664928588,0.4901649183329722,high,,1,False,project,self
680.4806,8.735,44.366636864110205,0.4525344959251238,high,,1,False,project,self
669.6382,18.42,99.9425287356322,0.37076178714814767,high,,1,False,project,self
789.6198,9.832,50.51724137931034,0.432548567226728,high,,1,False,project,self
823.7579,17.71,95.8178777370412,0.3937519206197536,high,,1,False,project,self
663.4541,8.735,44.366636864110205,0.4525344959251238,high,,1,False,project,self
762.5919,8.407,42.52873563218391,0.4588105867027442,high,,1,False,project,self
582.55,6.63,33.224864463122195,0.9671798637363596,medium,,1,False,project,self
1446.1326,8.707,44.210698407279516,0.45306511235446245,high,,1,False,project,self
857.8235,18.092,98.03354660014239,0.4008116372697,high,,1,False,project,self
1296.2373,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
874.776,17.464,94.39726347911052,0.37076178714814767,high,,1,False,project,self
647.459,12.838,67.69531431610999,0.49602477899530534,high,,1,False,project,self
878.8171,18.393,99.78523079100593,0.37076178714814767,high,,1,False,project,self
783.5721,6.52,32.65884498334711,1.0020447344272723,medium,,1,False,project,self
640.603,17.955,97.23778065108249,0.443320997344833,high,,1,False,project,self
729.5907,7.093,35.313279795090075,0.8228347561960715,medium,,1,False,project,self
780.5534,6.328,31.517984589054503,0.9688589882362334,medium,,1,False,project,self
647.4588,12.92,68.16554662066228,0.49339035218512123,high,,1,False,project,self
814.6875,11.125,58.18284466271518,0.4772196878645844,high,,1,False,project,self
369.3514,15.269,81.88645873526359,0.42365584368220244,high,,1,False,project,self
392.2869,3.598,16.009873275750035,1.5892809474355125,medium,,1,False,project,self
369.3513,15.187,81.41574889597133,0.4262475891876686,high,,1,False,project,self
