m/z	RT
454.2559	1.056
538.3495	1.781
594.4125	2.882
650.4751	4.514
758.5686	7.368
760.5845	8.422
678.5062	5.626
688.6022	17.433
642.6024	15.068
668.6338	18.419
622.4438	3.606
790.6311	11.08
788.6156	9.834
369.3514	18.419
689.605	17.433
759.5712	7.368
651.4778	4.514
614.5711	12.658
539.3524	1.781
595.4152	2.882
761.587	8.422
1319.2349	18.419
1320.2376	18.419
669.637	18.419
455.2588	1.056
756.5531	6.623
679.5089	5.626
643.6054	15.068
791.6338	11.08
789.6183	9.834
454.2562	0.837
623.4465	3.606
666.6183	18.035
1321.2407	18.419
370.3546	18.419
615.5743	12.685
369.3511	17.433
757.5558	6.623
1322.246	18.419
579.5335	12.631
667.6215	18.035
1267.1712	15.068
760.5741	7.368
690.6082	17.433
1360.1741	17.433
1359.1709	17.433
762.5901	8.422
1268.1744	15.068
670.6406	18.419
652.4807	4.514
1323.2546	18.419
792.6368	11.08
790.6213	9.834
338.3416	4.35
174.1599	0.947
596.4181	2.882
644.6084	15.068
680.5118	5.637
907.5045	1.056
540.3551	1.781
1075.6919	1.781
476.2378	1.029
369.3514	18.035
671.652	18.364
341.3046	15.068
876.8013	18.117
455.2592	0.837
1211.1087	12.658
580.5371	12.631
354.4092	2.468
607.5652	15.013
1361.1774	17.433
372.3698	18.419
624.4494	3.606
456.2611	1.056
1187.8175	2.881
1212.1119	12.658
855.8166	18.063
1216.0637	12.631
370.3544	17.406
214.0913	23.506
1076.6952	1.781
874.7854	17.789
1269.1777	15.068
214.0895	18.337
1299.9428	4.514
1315.2032	18.035
1324.2595	18.419
758.5588	6.623
1316.2065	18.035
537.5349	8.834
877.8047	18.117
565.5664	10.359
670.6335	15.068
1217.0671	12.631
616.5774	12.685
850.7855	18.063
1188.8209	2.881
672.6558	18.419
1300.9462	4.514
902.8169	18.117
908.5079	1.056
696.4807	2.908
668.6249	18.035
875.7889	17.789
1272.1264	15.013
856.8202	18.063
848.7697	17.789
822.7539	17.762
652.5294	6.76
560.3312	1.726
700.644	15.068
670.6339	14.986
780.5502	7.368
608.5688	15.068
616.3943	2.826
642.6024	12.685
371.3579	18.419
812.6127	11.107
782.5662	8.395
1273.1299	15.013
700.488	5.654
672.4569	4.514
810.5973	9.834
794.7224	17.378
820.7384	17.488
619.5263	12.603
370.3547	18.035
644.4255	3.574
642.6025	12.794
929.4863	1.056
1019.9514	18.419
1317.2099	18.035
1213.1151	12.658
903.8202	18.117
341.3045	12.685
339.3446	4.35
690.6182	17.816
1293.2191	18.419
851.789	18.063
1294.2224	18.419
1362.1808	17.433
313.2733	12.685
808.7385	17.597
900.8011	17.844
728.6753	15.068
492.2117	1.029
691.6116	17.433
1303.2115	18.419
625.5761	15.068
454.2461	1.056
836.7698	17.926
761.5772	7.382
1356.0052	5.626
763.5932	8.422
671.6369	15.068
544.2253	1.001
1218.0704	12.631
776.5792	8.449
1020.9547	18.419
373.3734	18.419
566.5694	10.359
793.64	11.107
371.3637	18.419
824.7701	18.063
878.8167	18.419
1302.2081	18.419
342.3078	15.068
184.0729	1.056
538.5381	8.834
700.6446	14.986
778.5347	6.623
355.4124	2.468
849.7731	17.789
791.6244	9.834
823.7576	17.789
872.7695	17.488
684.6286	18.419
1325.264	18.419
1357.0087	5.626
1323.2468	18.392
805.2361	15.95
683.6287	15.068
1243.8805	3.601
834.7542	17.597
597.5447	12.658
1077.6982	1.781
686.587	17.05
642.6027	12.849
672.6129	12.794
477.241	1.029
619.526	12.876
672.6129	12.658
916.2641	16.556
850.2503	5.681
801.5517	4.542
916.7638	16.556
805.7356	15.95
1270.1808	15.068
1301.9494	4.514
647.5578	14.959
879.2546	16.391
1189.8239	2.881
770.5333	3.794
367.3358	18.035
792.7072	16.995
716.6331	17.433
901.8045	17.844
878.808	18.117
796.7388	17.707
795.7258	17.378
806.7229	17.214
821.7418	17.488
653.5328	6.732
683.6292	14.986
647.5579	15.123
904.8324	18.419
879.7545	16.391
804.7367	15.95
788.5435	3.739
653.4835	4.522
728.6758	14.986
734.5697	8.258
813.6163	11.135
701.6475	15.068
693.5571	17.378
581.5405	12.658
898.7853	17.515
671.6437	18.419
846.754	17.488
781.5536	7.341
842.2455	16.171
1244.8838	3.601
783.5694	8.477
917.2631	16.556
697.4841	2.908
811.6006	9.772
862.7857	17.981
774.5632	7.368
990.7826	16.83
811.6005	9.854
462.1467	5.406
842.745	16.198
810.7545	17.871
671.6374	14.986
907.505	0.837
930.4897	1.056
953.7735	16.693
691.6217	17.816
806.2352	15.95
915.7647	16.556
643.6056	12.658
953.2737	16.693
990.2831	16.83
1027.7921	16.995
837.7733	17.926
809.7419	17.597
645.6115	15.068
454.2665	1.056
1274.133	15.013
878.7553	16.391
681.5147	5.637
1444.4007	15.068
715.6127	17.433
702.8622	1.056
924.269	6.787
656.618	15.068
879.8201	18.419
675.6761	4.35
880.254	16.391
820.489	2.689
873.7731	17.488
671.5758	17.433
714.6597	15.068
991.2822	16.83
536.1648	6.787
538.3629	1.781
776.2328	4.679
1443.4011	15.068
729.6788	15.068
700.6025	17.159
1304.2152	18.419
369.3583	18.392
643.6058	12.794
780.7072	17.159
668.6179	15.04
841.7459	16.198
851.2497	5.681
1027.2924	16.995
854.8105	18.063
746.6438	17.433
925.2695	6.787
642.6036	23.065
701.4914	5.654
954.2729	16.693
848.6841	11.053
538.336	1.781
635.5003	12.631
1295.2257	18.419
700.6443	12.794
650.4572	4.514
670.6345	16.033
700.644	12.658
825.7735	18.063
1028.2917	16.995
