m/z	RT
758.5736	5.929
874.7901	14.245
765.6203	7.094
872.7753	13.913
541.5412	6.785
855.8215	14.466
875.7936	14.245
496.3426	1.566
759.5768	5.929
786.6047	7.42
876.8057	14.499
782.5734	5.651
666.6218	14.577
524.374	1.965
784.5887	6.286
848.7741	14.17
873.7781	13.913
1325.2746	14.884
723.5728	7.372
856.8241	14.466
703.5779	5.702
877.8082	14.499
647.4613	11.122
766.6229	7.094
760.5882	7.1
1316.2106	14.569
900.8048	14.288
1315.2072	14.569
846.7582	13.87
1326.2786	14.884
859.6099	5.113
806.5724	5.278
1082.0725	6.785
690.6209	14.343
784.5879	6.067
787.607	7.42
242.2853	1.026
771.5933	5.375
783.5756	5.651
617.5897	9.993
898.7893	13.955
667.6243	14.577
542.5435	6.785
849.7766	14.174
1324.2669	14.884
850.7888	14.499
812.6191	7.747
878.82	14.791
671.6548	14.884
785.5911	6.286
815.7029	12.07
523.5294	6.785
1323.26	14.912
1083.0755	6.785
901.8073	14.294
1322.2557	14.912
810.6032	7.058
788.6189	8.656
813.6871	10.654
876.7951	14.245
527.3882	1.64
485.3414	1.654
847.7608	13.87
721.509	6.701
520.3414	1.411
497.3447	1.582
899.7919	13.993
822.757	14.13
820.7415	13.828
902.8195	14.577
1317.213	14.577
724.575	7.372
782.5717	5.048
648.4641	11.118
761.5908	7.1
904.8353	14.802
807.575	5.278
704.5803	5.701
691.6238	14.343
760.5782	5.942
808.5873	5.789
525.3762	1.965
787.6712	10.733
870.7571	13.69
851.7917	14.467
879.823	14.791
860.6124	5.113
1327.2813	14.844
811.6711	8.844
785.5906	6.067
874.7799	13.913
813.6869	11.07
617.5892	9.758
813.6219	7.779
391.2855	2.603
369.3527	12.528
680.4822	6.701
896.7726	13.69
772.596	5.375
801.6869	11.683
816.7057	12.059
672.6579	14.884
814.69	10.593
618.5926	9.993
903.8225	14.569
854.8132	14.466
878.8103	14.499
906.778	12.675
811.6061	7.058
857.8261	14.466
522.3567	1.64
789.6219	8.656
905.8381	14.802
1203.9875	6.744
729.5926	5.832
823.7601	14.13
821.7445	13.829
697.5555	6.124
1296.2393	14.912
687.6495	13.514
834.6028	6.613
734.5714	6.967
722.512	6.701
871.7602	13.65
767.6249	7.094
1204.9909	6.745
1379.186	12.537
1380.1892	12.537
524.5324	6.785
785.6552	8.889
367.337	12.627
774.5664	3.16
816.6245	5.929
1084.078	6.785
904.7624	12.352
1297.2431	14.912
897.7754	13.69
663.4554	6.701
768.5921	6.52
582.5519	5.375
850.7789	14.17
783.5749	5.048
369.3526	14.608
844.741	13.601
812.6742	8.844
668.6356	14.912
701.5611	4.629
794.7254	13.784
788.6092	7.421
1446.1345	7.372
809.5904	5.789
784.5778	5.651
759.6395	8.765
788.6744	10.733
623.6214	9.281
670.6474	14.884
902.8099	14.288
766.5763	6.242
852.8037	14.791
565.5681	9.286
698.61	12.537
668.6268	14.608
808.587	6.149
1321.2478	14.912
814.69	11.074
767.5612	5.372
907.7815	12.675
1342.9295	6.701
742.5765	6.566
862.7879	14.373
1363.2058	14.382
786.5935	6.286
764.6119	7.094
780.5532	5.883
537.5367	7.527
