m/z	RT
650.4793	3.493
538.3537	1.393
454.2592	1.026
688.6067	14.038
758.5734	5.979
678.5106	4.409
760.5891	7.104
790.6362	10.412
642.6069	12.454
788.6207	8.668
594.4163	2.1
622.4479	2.703
1319.2397	14.896
1320.2436	14.896
689.6098	14.038
756.5575	5.19
614.5751	11.856
759.5764	5.947
761.5919	7.104
791.6391	10.412
789.6234	8.668
651.482	3.493
643.6097	12.454
679.5132	4.409
1321.2461	14.896
668.6371	14.938
539.356	1.393
595.4188	2.134
623.4501	2.703
757.5597	5.19
455.2614	1.026
354.4108	1.813
615.5775	11.856
669.6398	14.896
369.353	14.038
690.6116	14.038
174.161	0.945
907.5077	1.026
1322.2481	14.896
762.5937	7.104
792.6409	10.412
1360.1784	14.038
760.578	5.947
1267.1757	12.454
1359.175	14.038
790.625	8.668
579.5367	11.766
1075.6961	1.393
652.5318	5.282
644.6116	12.454
652.4837	3.493
1268.179	12.454
369.3529	14.938
680.5152	4.409
1019.9548	14.896
341.3062	12.454
595.5903	7.521
623.6213	9.254
1272.1309	12.454
1216.0684	11.856
1302.2111	14.896
1299.9466	3.493
1303.2148	14.896
537.5371	7.521
565.568	9.254
1020.958	14.896
596.4209	2.1
1187.8212	2.1
758.5622	5.19
1273.1347	12.411
184.0738	1.035
1361.1815	14.038
1217.0718	11.856
1211.113	11.856
1076.6991	1.393
624.4523	2.703
908.5109	1.026
540.3579	1.393
1300.9498	3.493
721.5089	6.693
1212.1162	11.856
476.2395	0.991
355.4139	1.813
1356.0091	4.409
1269.1822	12.454
370.3562	14.038
653.535	5.282
1188.8245	2.1
670.6427	14.896
616.5802	11.856
456.2633	1.035
1243.8837	2.703
580.54	11.766
1357.0125	4.409
818.6655	11.951
689.6627	14.038
1304.218	14.896
607.5679	12.454
846.6713	8.767
816.6245	5.899
814.6088	5.168
846.6702	8.613
816.6244	6.05
759.6315	5.947
818.6399	7.034
818.6389	7.173
666.4356	1.579
761.6466	7.104
596.5933	7.521
696.4824	2.179
651.5336	3.493
624.6246	9.254
1320.3095	14.854
736.5616	4.496
791.6944	10.412
643.6608	12.454
370.3561	14.938
789.6789	8.66
708.5299	3.55
736.5606	4.364
593.5997	11.52
1321.3124	14.896
184.0737	1.393
1323.2506	14.896
679.5652	4.409
1274.1376	12.454
848.6871	10.549
539.4022	1.393
848.6871	10.329
722.5119	6.693
650.6163	3.493
675.6779	3.323
595.468	2.1
1244.889	2.703
691.6145	14.038
538.5402	7.521
812.6159	10.503
566.5713	9.254
1021.9613	14.896
680.4989	2.683
810.6	8.74
651.6529	11.52
1218.0745	11.856
625.5782	12.454
341.3062	11.856
788.5452	2.772
734.5711	6.988
793.6433	10.412
782.5686	7.173
313.2747	11.856
791.6277	8.668
780.5531	5.9
1260.9743	13.333
761.5805	5.947
454.3026	1.161
619.529	11.766
770.5348	2.887
763.5962	7.104
651.5123	3.55
1370.385	11.903
1301.9528	3.493
672.4587	3.55
778.5373	5.235
1362.1847	14.038
647.56	12.411
700.4901	4.463
1077.7017	1.393
1213.1192	11.856
652.4673	2.187
539.3841	1.446
538.3998	1.493
680.482	6.693
757.5932	5.235
972.8193	15.176
650.5286	3.584
614.6244	11.904
790.6898	10.549
1369.3858	11.903
342.3094	12.454
678.5611	4.496
668.6884	14.938
642.6566	12.542
1261.9779	13.333
455.2874	1.07
644.4276	2.683
756.6107	5.282
1444.4038	12.151
622.4963	2.772
756.6107	5.143
688.6578	14.128
623.4894	2.728
623.4958	2.703
594.4644	2.187
760.6418	7.196
758.626	6.05
1315.2062	14.604
819.6688	11.951
788.6735	8.783
596.4046	1.484
788.6712	8.613
595.4471	2.179
759.6078	6.05
1316.2094	14.604
338.3426	3.323
688.6585	13.948
560.3334	1.349
615.608	11.856
817.6276	5.9
1371.3845	11.903
653.486	3.493
1365.1333	14.038
455.3066	1.026
1364.13	14.038
597.547	11.766
1189.8272	2.1
757.612	5.19
608.5709	12.454
761.6256	7.196
681.5176	4.409
1358.0137	4.409
815.6118	5.143
819.6431	7.173
645.6144	12.454
1443.4051	12.151
671.5778	14.038
909.5134	1.026
820.4906	1.952
616.3963	2.187
174.1644	1.114
1296.3662	11.298
686.5887	13.712
929.4888	1.026
1278.3552	13.239
973.8227	15.176
1445.4037	12.151
1319.3013	15.033
1295.3675	11.298
1352.3746	13.428
1204.3365	13.085
1277.3566	13.239
849.6903	10.329
1368.3852	11.903
587.5498	9.254
425.2923	1.72
690.6442	14.038
849.6902	10.503
1203.3374	13.085
184.0737	2.1
1426.3935	13.57
663.4552	6.693
559.5187	7.521
669.6706	14.938
1222.3468	9.645
1270.1853	12.454
666.62	14.554
737.5648	4.364
772.5496	2.819
650.4403	1.72
1322.2992	14.896
354.4518	1.813
702.6198	14.226
615.6295	11.856
153.1389	0.982
1221.3483	9.645
1351.3758	13.428
679.5436	4.496
1305.2207	14.896
813.6188	10.503
1325.1957	15.033
1324.193	15.033
594.603	11.52
175.1638	0.945
1294.3666	11.298
813.6204	10.329
697.4858	2.179
1129.3183	12.885
709.5331	3.584
643.6401	12.545
1202.3365	13.085
667.4389	1.579
693.5598	14.038
811.6035	8.74
1279.3549	13.239
688.6383	14.179
669.6943	14.896
700.6044	13.854
690.6669	14.038
1425.3951	13.57
1276.3556	13.239
1130.3176	12.885
1297.3659	11.298
652.656	11.52
1372.3834	11.903
1442.4043	12.151
477.2427	0.991
790.6714	10.604
668.6697	14.986
1128.3175	12.885
654.5378	5.355
758.6068	6.095
760.6228	7.265
789.5484	2.793
1427.3933	13.57
1353.3744	13.428
1147.3291	8.356
1325.1961	14.81
1324.1931	14.81
597.423	2.1
781.5563	6.05
1054.2991	12.636
1220.3475	9.645
783.5719	7.173
1446.4036	12.151
626.5814	12.454
771.5379	2.866
594.4462	2.234
625.4545	2.703
421.3259	4.238
1340.941	13.314
647.4603	11.095
735.5744	6.988
779.5408	5.282
802.5243	1.635
378.2532	1.484
762.6284	7.104
369.3949	14.038
1205.3365	13.085
1146.3284	8.356
1055.2998	12.636
762.6512	7.104
760.6128	5.939
1360.2411	14.038
541.3602	1.393
762.6025	7.734
512.3103	1.161
1350.3749	13.428
1056.2986	12.636
792.6993	10.412
760.6354	5.947
790.6848	8.668
620.5321	11.766
394.2661	1.484
648.5634	12.545
802.5235	1.813
1499.4131	13.712
790.6724	8.66
1317.2121	14.604
1359.2334	14.038
1341.9436	13.286
801.554	2.981
1223.3468	9.645
1096.0476	7.521
892.4886	1.673
790.6596	8.704
792.6782	10.415
1275.1406	12.411
1267.2323	12.454
681.4853	6.693
1424.3936	13.57
907.5696	1.035
898.7875	13.948
1366.1363	14.038
874.4779	1.776
581.5427	11.766
184.0737	3.463
701.4935	4.496
670.6359	12.901
672.5813	14.038
186.0627	16.1
1152.1102	9.254
673.462	3.55
842.5803	3.028
459.2756	1.579
900.803	14.27
1131.3169	12.885
1219.0777	11.856
652.5333	3.493
716.6358	14.368
186.0625	15.964
184.0736	2.703
1298.3648	11.298
573.4889	4.227
644.6614	12.454
562.411	1.72
821.4938	1.952
1428.3926	13.57
656.4065	2.328
269.1629	4.273
1262.9809	13.314
1321.928	3.493
687.5922	13.712
876.4845	1.767
1354.3739	13.428
1097.677	1.437
1280.354	13.239
930.4924	0.991
496.3407	1.587
1377.9906	4.409
653.4706	2.187
1329.037	14.222
680.5625	4.409
425.7938	1.72
1321.1651	14.604
902.8195	14.554
644.6452	12.454
1022.9641	14.896
1149.328	8.403
369.3626	13.991
1097.0512	7.521
874.7877	14.222
1027.7946	13.133
617.5827	11.856
1373.3853	11.903
980.2805	12.363
645.4307	2.683
1265.8657	2.703
671.6458	14.938
680.4514	1.587
1322.9317	3.493
762.6026	8.566
579.5878	11.766
1378.9922	4.452
685.4369	6.693
1064.8048	13.192
1209.8026	2.091
894.4869	1.673
990.2855	12.991
907.5577	1.07
652.5857	5.261
990.785	12.991
477.264	1.579
356.417	1.813
896.7726	13.665
1326.2	15.033
732.5551	5.712
924.2712	4.924
1057.298	12.636
876.8031	14.507
1206.3352	13.085
872.4406	4.858
1027.2949	13.133
1320.1618	14.604
369.3947	14.896
1073.3096	7.149
421.326	4.511
1330.0403	14.222
1447.4024	12.151
1303.2723	14.896
667.6235	14.554
872.7723	13.948
1072.309	7.149
1153.1135	9.254
822.491	1.913
981.2807	12.363
1216.127	11.856
1272.1917	12.454
694.5631	14.038
1020.0083	14.896
369.3764	14.938
953.7758	12.932
1028.2943	13.133
774.5658	3.821
371.3591	14.038
703.6234	14.226
802.5584	2.981
1074.3092	7.149
1326.1998	14.81
723.5147	6.693
1263.374	9.645
625.6274	9.237
1498.4122	13.712
1224.3457	9.645
652.5643	5.261
269.163	1.673
398.231	0.991
1214.1224	11.856
598.55	11.766
1302.9574	3.463
1363.1881	14.038
1065.3043	13.192
1064.3043	13.192
1302.2699	14.938
773.553	2.819
684.5214	2.866
899.7908	13.948
701.6081	13.806
720.5944	12.092
715.6155	13.947
953.2758	12.944
974.8264	15.176
597.5962	7.521
991.2851	12.991
1337.3928	11.298
664.4588	6.693
421.8275	4.273
675.5915	12.901
842.4882	2.748
1189.3546	8.403
836.5216	4.191
715.6166	14.128
784.5136	1.905
1262.3745	9.645
982.2794	12.363
1273.1977	12.497
597.4076	1.484
588.553	9.283
441.2872	1.484
184.0736	4.409
1101.8133	13.286
1188.3563	8.403
457.2656	1.035
925.2717	4.924
820.6718	11.951
609.605	9.254
399.2513	1.264
596.4654	2.1
1021.0128	14.896
1361.2422	14.038
1217.1303	11.856
821.5386	1.626
567.5744	9.254
341.3465	12.454
901.8064	14.27
595.6351	7.521
758.6117	5.19
1102.3135	13.286
269.163	4.496
1336.3935	11.298
725.5498	12.093
342.3093	11.856
838.5006	1.72
926.2711	4.924
954.2753	12.932
761.6209	12.093
804.5389	1.635
617.3995	2.055
850.2524	4.027
573.4887	4.496
478.2635	1.579
623.6672	9.254
624.498	2.728
716.4871	2.134
1065.8034	13.192
1320.1714	14.896
788.5452	3.054
581.5741	7.521
540.4008	1.402
560.522	7.521
999.291	5.988
916.2664	12.789
1078.7047	1.393
1211.1732	11.856
341.3305	12.454
561.3367	1.484
989.7856	12.991
565.6119	9.254
537.5806	7.521
690.7533	14.038
1132.3163	12.885
691.6227	14.365
1210.8059	2.142
539.5434	7.521
1261.374	9.645
314.2781	11.856
965.298	4.924
666.5106	2.981
803.5275	1.681
903.8223	14.554
908.5615	1.026
1150.327	8.356
1175.8329	13.475
1320.1343	14.896
717.6389	14.368
1264.373	9.645
1485.4311	12.151
1321.1555	14.896
998.2906	5.988
870.4425	4.858
789.6694	8.845
1138.8232	13.381
651.4435	1.729
1194.8195	4.957
1098.6809	1.437
977.7748	15.176
763.6054	7.753
1429.3925	13.57
816.6148	5.235
578.4425	1.821
689.566	14.038
786.6024	7.218
991.6013	1.349
371.3594	14.938
843.5838	3.028
643.7416	12.542
648.4635	11.095
459.7772	1.579
952.7761	12.932
792.7921	10.441
393.2585	1.484
776.234	3.24
856.5129	1.767
877.8063	14.507
378.7548	1.484
1101.3147	13.286
875.7912	14.222
1212.1777	11.856
1028.794	13.085
878.4907	1.72
1026.7949	13.085
1338.3931	11.298
