# frozen iRT ruler (Orbitrap-defined). iRT = 100*(RT_ref_min-1.0)/(18.4-1.0); RT_lo=1.0; RT_hi=18.4
anchor,RT_ref_min,sigma_min,iRT
PC 6:0_6:0,1.06,0.0145,0.345
PC 9:0_9:0,1.81,0.002,4.655
PC 11:0_11:0,2.88,0.002,10.805
PC 12:0_12:0,3.6,0.017,14.943
PC 13:0_13:0,4.52,0.0045,20.23
PC 14:0_14:0,5.63,0.0055,26.609
PC 16:0_18:3,6.63,0.006,32.356
PC 16:0_18:2,7.37,0.006,36.609
PC 16:0_18:1,8.4,0.007,42.529
PC 18:0_18:1,9.79,0.006,50.517
PC 18:0_18:0,11.07,0.0085,57.874
DG 16:0_18:0,12.65,0.01,66.954
DG 18:0_18:0,14.99,0.002,80.402
CE 20:5,17.37,0.013,94.08
CE 18:1,18.39,0.001,99.943
