m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.0265	15.218	1081	0.0	inf	False	False	1		
150.0268	1.305	2952	0.0	inf	False	False	1		
150.027	2.611	159089	0.96	4.0	False	False	1		
150.0273	16.201	2067	0.57	99.0	False	False	1		
150.0344	2.611	20978	0.98	99.0	False	False	1		
150.0371	15.631	2037	0.75	1.0	False	False	1		
150.0372	16.201	1385	0.18	0.0	False	False	1		
150.0389	13.066	1072	0.29	1.0	False	False	1		
150.0452	2.751	1692	0.0	inf	False	False	1		
150.0515	2.611	10972	0.87	3.0	False	False	1		
150.0634	17.186	1090	0.0	inf	False	False	1		
150.0643	1.117	1218	0.65	99.0	False	False	1		
150.0892	2.188	1566	0.59	99.0	False	False	1		
150.0912	0.98	1588	0.0	inf	False	False	1		
150.101	2.564	1244	0.0	inf	False	False	1		
150.1158	2.564	1011	0.0	inf	False	False	1		
150.1355	12.924	1660	0.0	inf	False	False	1		
150.1357	12.456	1756	0.0	inf	False	False	1		
150.1359	13.479	3798	0.0	inf	False	False	1		
150.1359	5.882	5756	0.0	inf	False	False	1		
150.1363	14.897	9134	0.97	99.0	False	False	1		
150.1365	2.141	1306	0.0	inf	False	False	1		
150.1368	12.736	1834	0.0	inf	False	False	1		
150.137	13.183	1666	0.0	inf	False	False	1		
151.0289	2.611	18045	0.96	4.0	False	False	1		
151.0375	2.657	1567	0.0	inf	False	False	1		
151.0402	16.37	1021	0.0	inf	False	False	1		
151.0759	1.164	1118	0.0	inf	False	False	1		
151.0763	10.177	1122	0.0	inf	False	False	1		
151.0848	2.094	2213	0.73	99.0	False	False	1		
151.0865	0.98	1405	0.0	inf	False	False	1		
151.0953	2.564	1357	0.0	inf	False	False	1		
151.0956	17.661	1140	0.67	0.0	False	False	1		
151.0957	4.214	1186	0.58	0.0	False	False	1		
151.0964	18.875	1045	0.0	inf	False	False	1		
151.0965	9.383	1139	0.0	inf	False	False	1		
151.0966	0.934	2404	0.0	inf	False	False	1		
151.0966	0.188	1010	0.65	99.0	False	False	1		
151.0966	2.188	2285	0.0	inf	False	False	1		
151.0967	1.352	1300	0.0	inf	False	False	1		
151.0968	2.798	1571	0.0	inf	False	False	1		
151.097	8.3	1113	0.0	inf	False	False	1		
151.0971	1.861	2474	0.0	inf	False	False	1		
151.0973	10.419	1186	0.65	0.0	False	False	1		
151.0974	16.168	1464	0.39	1.0	False	False	1		
151.0977	1.164	2307	0.0	inf	False	False	1		
151.0977	19.167	1113	0.0	inf	False	False	1		
151.0978	19.527	1241	0.68	99.0	False	False	1		
151.0979	0.553	1169	0.0	inf	False	False	1		
151.1112	1.908	1125	0.46	99.0	False	False	1		
151.1115	1.117	2168	0.67	99.0	False	False	1		
151.1116	3.364	1061	0.0	inf	False	False	1		
151.1118	10.941	1043	0.0	inf	False	False	1		
151.1118	12.55	4727	0.0	inf	False	False	1		
151.1118	9.1	1136	0.0	inf	False	False	1		
151.1119	15.171	1384	0.0	inf	False	False	1		
151.1124	13.125	1924	0.0	inf	False	False	1		
151.1125	12.736	1584	0.0	inf	False	False	1		
151.1138	0.98	1823	0.0	inf	False	False	1		
151.1466	5.882	3750	0.0	inf	False	False	1		
151.1481	12.736	1752	0.64	99.0	False	False	1		
151.1484	2.141	1759	0.0	inf	False	False	1		
151.1485	14.725	1691	0.0	inf	False	False	1		
151.1486	12.504	6358	0.73	1.0	False	False	1		
151.1488	15.313	1431	0.0	inf	False	False	1		
151.1489	1.164	1193	0.0	inf	False	False	1		
151.1495	15.077	2100	0.0	inf	False	False	1		
152.0704	0.98	1820	0.0	inf	False	False	1		
152.1068	15.749	1267	0.0	inf	False	False	1		
152.107	1.258	1621	0.0	inf	False	False	1		
152.144	0.98	1337	0.0	inf	False	False	1		
152.1514	5.882	6463	0.0	inf	False	False	1		
152.1516	15.855	1595	0.0	inf	False	False	1		
152.1518	13.479	3688	0.0	inf	False	False	1		
152.1521	13.018	1222	0.0	inf	False	False	1		
152.1522	14.983	4808	0.0	inf	False	False	1		
152.1532	13.231	1102	0.0	inf	False	False	1		
152.9475	12.877	1098	0.0	inf	False	False	1		
153.0543	1.117	1000	0.0	inf	False	False	1		
153.0761	17.862	1010	0.0	inf	False	False	1		
153.0779	0.594	1134	0.0	inf	False	False	1		
153.09	2.47	1434	0.0	inf	False	False	1		
153.0903	8.347	1290	0.63	0.0	False	False	1		
153.0906	0.893	2152	0.0	inf	False	False	1		
153.0909	15.749	1170	0.0	inf	False	False	1		
153.0911	0.98	2605	0.0	inf	False	False	1		
153.0913	1.117	2171	0.0	inf	False	False	1		
153.0916	1.305	1103	0.0	inf	False	False	1		
153.0916	18.133	1114	0.0	inf	False	False	1		
153.0916	12.269	1390	0.0	inf	False	False	1		
153.0917	3.317	1018	0.0	inf	False	False	1		
153.092	17.69	1155	0.0	inf	False	False	1		
153.0921	0.67	1036	0.0	inf	False	False	1		
153.0924	16.597	1177	0.0	inf	False	False	1		
153.1026	18.293	1146	0.0	inf	False	False	1		
153.104	0.98	1610	0.0	inf	False	False	1		
153.1277	1.164	4168	0.0	inf	False	False	1		
153.1277	12.971	1250	0.0	inf	False	False	1		
153.128	15.702	1106	0.66	99.0	False	False	1		
153.1291	13.171	1513	0.0	inf	False	False	1		
153.1379	11.882	1222	0.74	0.0	False	False	1		
153.1387	18.704	1210	0.0	inf	False	False	1		
153.1388	3.789	1148	0.0	inf	False	False	1		
153.1388	15.124	1661	0.0	inf	False	False	1		
153.1388	19.807	1051	0.0	inf	False	False	1		
153.1388	1.352	1439	0.46	0.0	False	False	1		
153.1392	16.231	1240	0.18	1.0	False	False	1		
153.1394	19.343	1093	0.0	inf	False	False	1		
153.1397	13.337	1209	0.0	inf	False	False	1		
153.1397	18.233	1074	0.0	inf	False	False	1		
153.1399	10.225	1034	0.0	inf	False	False	1		
154.0852	0.98	1411	0.0	inf	False	False	1		
154.1216	1.211	1113	0.0	inf	False	False	1		
154.1222	1.117	1159	0.0	inf	False	False	1		
154.1228	9.336	1037	0.0	inf	False	False	1		
154.1238	0.98	1918	0.0	inf	False	False	1		
155.0708	9.477	1035	0.0	inf	False	False	1		
155.0708	4.119	1111	0.0	inf	False	False	1		
155.0711	4.821	1007	0.0	inf	False	False	1		
155.1051	15.808	1079	0.0	inf	False	False	1		
155.1053	8.441	1064	0.0	inf	False	False	1		
155.1061	12.783	1140	0.0	inf	False	False	1		
155.1061	12.971	1308	0.0	inf	False	False	1		
155.1064	9.665	1184	0.0	inf	False	False	1		
155.1068	0.98	2031	0.0	inf	False	False	1		
155.1068	12.221	1189	0.0	inf	False	False	1		
155.107	2.235	1685	0.0	inf	False	False	1		
155.1071	1.258	1797	0.0	2.0	False	False	1		
155.1073	13.337	1091	0.0	inf	False	False	1		
155.1073	12.55	2569	0.0	inf	False	False	1		
155.1077	16.977	1058	0.0	inf	False	False	1		
155.1079	10.941	1239	0.0	inf	False	False	1		
155.108	13.572	1570	0.0	inf	False	False	1		
155.1081	3.836	1003	0.0	inf	False	False	1		
155.1174	0.98	2545	0.0	inf	False	False	1		
155.1544	0.98	18191	0.99	99.0	False	False	1		
155.1615	1.117	1008	0.0	inf	False	False	1		
156.0418	0.98	3004	0.0	inf	False	False	1		
156.1383	2.141	2640	0.0	inf	False	False	1		
156.1384	1.164	2409	0.0	inf	False	False	1		
156.1384	3.364	1245	0.0	inf	False	False	1		
156.1386	1.305	1521	0.0	inf	False	False	1		
156.1388	15.949	1320	0.69	99.0	False	False	1		
156.1389	1.027	6258	0.0	inf	False	False	1		
156.1393	9.147	1059	0.0	inf	False	False	1		
156.1394	19.132	1056	0.0	inf	False	False	1		
156.1395	11.409	1193	0.0	inf	False	False	1		
156.1402	17.186	1078	0.0	inf	False	False	1		
156.1575	0.98	1991	0.0	inf	False	False	1		
157.0131	1.305	3134	0.0	inf	False	False	1		
157.0794	16.131	1149	0.0	inf	False	False	1		
157.0858	0.98	1480	0.0	inf	False	False	1		
157.1011	1.211	1240	0.0	inf	False	False	1		
157.1016	8.111	1048	0.0	inf	False	False	1		
157.1019	12.642	2331	0.0	inf	False	False	1		
157.1025	12.409	2450	0.0	inf	False	False	1		
157.1221	13.479	1416	0.0	inf	False	False	1		
157.1228	1.117	1565	0.0	inf	False	False	1		
157.1325	4.072	1180	0.0	inf	False	False	1		
157.1328	17.215	1290	0.0	inf	False	False	1		
157.133	0.682	1107	0.0	inf	False	False	1		
157.133	18.609	1035	0.0	inf	False	False	1		
157.1332	0.374	1087	0.0	inf	False	False	1		
157.1332	18.092	1159	0.0	inf	False	False	1		
157.1334	0.418	1218	0.0	inf	False	False	1		
157.1334	0.98	2166	0.0	inf	False	False	1		
157.1336	5.567	1212	0.0	inf	False	False	1		
157.1338	16.693	1577	0.12	1.0	False	False	1		
157.134	17.531	1204	0.0	inf	False	False	1		
157.134	19.729	1097	0.0	inf	False	False	1		
157.134	18.389	1304	0.0	inf	False	False	1		
157.134	17.72	1044	0.0	inf	False	False	1		
157.1341	0.188	1189	0.0	inf	False	False	1		
157.1343	0.553	1271	0.0	inf	False	False	1		
157.1343	18.174	1022	0.0	inf	False	False	1		
157.1344	9.336	1022	0.0	inf	False	False	1		
157.1344	19.033	1157	0.58	99.0	False	False	1		
157.1344	2.282	1351	0.63	99.0	False	False	1		
157.1345	0.812	1144	0.63	0.0	False	False	1		
157.1347	17.766	1087	0.0	inf	False	False	1		
157.1348	10.478	1020	0.0	inf	False	False	1		
157.1349	11.457	1169	0.0	inf	False	False	1		
157.1349	4.867	1048	0.0	inf	False	False	1		
157.135	3.789	1269	0.0	inf	False	False	1		
157.1351	4.491	1458	0.0	inf	False	False	1		
157.1352	8.3	1363	0.0	inf	False	False	1		
157.1352	0.647	1149	0.0	inf	False	False	1		
157.1682	16.502	1105	0.0	inf	False	False	1		
157.1689	19.237	1077	0.65	0.0	False	False	1		
157.1693	0.374	1390	0.0	inf	False	False	1		
157.1694	18.013	1091	0.0	inf	False	False	1		
157.1694	19.965	1130	0.0	inf	False	False	1		
157.1698	11.457	1029	0.0	inf	False	False	1		
157.1698	4.773	1262	0.0	inf	False	False	1		
157.1698	2.704	1375	0.0	inf	False	False	1		
157.1698	18.389	1128	0.0	inf	False	False	1		
157.1699	13.066	1161	0.44	99.0	False	False	1		
157.1701	19.729	1106	0.0	inf	False	False	1		
157.1702	8.347	1275	0.0	inf	False	False	1		
157.1702	19.462	1040	0.0	inf	False	False	1		
157.1703	17.457	1125	0.0	inf	False	False	1		
157.1704	17.04	1022	0.0	inf	False	False	1		
157.1706	17.755	1039	0.0	inf	False	False	1		
157.1706	3.93	1037	0.0	inf	False	False	1		
157.1708	8.583	1062	0.0	inf	False	False	1		
157.1708	18.834	1553	0.0	inf	False	False	1		
157.1708	8.111	1252	0.0	inf	False	False	1		
157.1709	0.045	1154	0.46	99.0	False	False	1		
