m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.026	15.405	1144	0.0	inf	False	False	1		
150.0268	16.205	1019	0.0	inf	False	False	1		
150.027	2.634	160737	0.94	2.0	False	False	1		
150.027	1.272	4309	0.0	inf	False	False	1		
150.0342	2.634	18602	0.73	0.5	False	False	1		
150.0367	16.557	1509	0.0	inf	False	False	1		
150.0368	16.12	1163	0.0	inf	False	False	1		
150.0371	16.58	1358	0.76	99.0	False	False	1		
150.0372	15.783	1669	0.0	inf	False	False	1		
150.0373	15.972	1324	0.0	inf	False	False	1		
150.0374	16.205	1709	0.0	inf	False	False	1		
150.0384	15.618	1231	0.0	inf	False	False	1		
150.0385	16.329	1104	0.0	inf	False	False	1		
150.0519	2.634	10097	0.88	3.0	False	False	1		
150.0627	1.131	1129	0.0	inf	False	False	1		
150.0633	16.074	1220	0.0	inf	False	False	1		
150.0878	2.679	1690	0.0	inf	False	False	1		
150.0887	2.106	1650	0.0	inf	False	False	1		
150.1123	0.935	1691	0.0	inf	False	False	1		
150.1284	1.178	1055	0.0	inf	False	False	1		
150.135	15.5	1061	0.47	0.0	False	False	1		
150.1353	13.287	1691	0.0	inf	False	False	1		
150.1355	5.846	5213	0.0	inf	False	False	1		
150.1356	12.582	3369	0.0	inf	False	False	1		
150.1357	14.895	9458	0.52	5.0	False	False	1		
150.1358	13.523	4329	0.0	inf	False	False	1		
150.1358	1.178	1247	0.0	inf	False	False	1		
150.1359	12.446	1682	0.0	inf	False	False	1		
150.136	13.003	1827	0.0	inf	False	False	1		
151.0286	2.634	17416	0.92	1.5	False	False	1		
151.0762	11.777	1152	0.0	inf	False	False	1		
151.0854	0.947	1178	0.46	99.0	False	False	1		
151.0956	4.77	1340	0.52	0.0	False	False	1		
151.0958	10.462	1130	0.0	inf	False	False	1		
151.096	2.388	1226	0.0	inf	False	False	1		
151.0964	18.59	1166	0.66	99.0	False	False	1		
151.0964	1.733	2940	0.0	inf	False	False	1		
151.0964	2.833	1135	0.0	inf	False	False	1		
151.0965	1.178	3022	0.68	3.0	False	False	1		
151.0966	1.506	3805	0.0	inf	False	False	1		
151.0967	2.2	1154	0.0	inf	False	False	1		
151.0968	0.935	2947	0.0	inf	False	False	1		
151.097	15.972	1659	0.76	99.0	False	False	1		
151.097	17.264	1326	0.51	99.0	False	False	1		
151.0972	19.88	1203	0.6	0.0	False	False	1		
151.0974	15.512	1280	0.73	0.0	False	False	1		
151.0975	11.59	1511	0.65	99.0	False	False	1		
151.098	16.893	1001	0.0	inf	False	False	1		
151.098	0.797	1055	0.0	inf	False	False	1		
151.0984	0.225	1784	0.7	99.0	False	False	1		
151.1103	11.977	1026	0.0	inf	False	False	1		
151.1109	12.722	1778	0.0	inf	False	False	1		
151.1112	13.382	1035	0.0	inf	False	False	1		
151.1117	1.131	3364	0.85	3.0	False	False	1		
151.1118	12.493	3819	0.0	inf	False	False	1		
151.1118	15.618	1358	0.53	99.0	False	False	1		
151.112	9.087	1155	0.0	inf	False	False	1		
151.1121	2.53	1798	0.4	1.0	False	False	1		
151.1125	8.476	1152	0.0	inf	False	False	1		
151.1438	15.075	1117	0.0	inf	False	False	1		
151.1454	13.523	1995	0.0	inf	False	False	1		
151.147	5.846	2854	0.0	inf	False	False	1		
151.1472	15.028	3315	0.86	99.0	False	False	1		
151.1472	12.768	1878	0.0	inf	False	False	1		
151.1474	13.24	1311	0.0	inf	False	False	1		
151.1484	2.152	2367	0.0	inf	False	False	1		
151.1486	12.493	3707	0.6	1.0	False	False	1		
151.1489	12.862	1357	0.0	inf	False	False	1		
151.1498	10.882	1049	0.0	inf	False	False	1		
152.0724	0.935	1583	0.0	inf	False	False	1		
152.1513	5.846	2283	0.0	inf	False	False	1		
152.1517	13.523	4223	0.0	inf	False	False	1		
152.1526	14.814	4190	0.93	99.0	False	False	1		
153.0765	17.305	1419	0.0	inf	False	False	1		
153.0897	9.557	1008	0.0	inf	False	False	1		
153.0899	0.786	1042	0.0	inf	False	False	1		
153.09	2.482	1164	0.0	inf	False	False	1		
153.0907	16.609	1188	0.0	inf	False	False	1		
153.0908	8.382	1039	0.0	inf	False	False	1		
153.091	0.891	1854	0.0	inf	False	False	1		
153.0916	3.873	1003	0.0	inf	False	False	1		
153.0919	1.131	1792	0.0	inf	False	False	1		
153.0922	18.601	1027	0.0	inf	False	False	1		
153.1273	2.2	1084	0.0	inf	False	False	1		
153.1274	1.827	1488	0.0	inf	False	False	1		
153.1278	13.003	1992	0.0	inf	False	False	1		
153.1282	4.108	1340	0.0	inf	False	False	1		
153.1285	1.178	3237	0.54	3.0	False	False	1		
153.1375	7.991	1027	0.64	99.0	False	False	1		
153.1377	13.003	1123	0.0	inf	False	False	1		
153.1377	15.453	1098	0.0	inf	False	False	1		
153.1379	16.522	1143	0.69	99.0	False	False	1		
153.1385	15.629	1540	0.0	inf	False	False	1		
153.1387	16.482	1313	0.0	inf	False	False	1		
153.1388	16.16	1573	0.0	inf	False	False	1		
153.1388	15.878	1028	0.0	inf	False	False	1		
153.1392	11.401	1038	0.0	inf	False	False	1		
153.1395	15.31	1117	0.0	inf	False	False	1		
153.1399	1.131	1178	0.64	1.0	False	False	1		
154.1229	15.263	1317	0.0	inf	False	False	1		
154.1231	1.178	1812	0.0	inf	False	False	1		
154.1237	16.205	1094	0.52	99.0	False	False	1		
154.1242	0.313	1092	0.0	inf	False	False	1		
155.0699	5.523	1141	0.0	inf	False	False	1		
155.0711	4.061	2067	0.0	inf	False	False	1		
155.0717	4.25	1873	0.0	inf	False	False	1		
155.082	5.476	1262	0.0	inf	False	False	1		
155.083	0.947	1264	0.0	inf	False	False	1		
155.083	10.407	1055	0.0	inf	False	False	1		
155.0984	0.935	1576	0.0	inf	False	False	1		
155.1056	1.178	2154	0.0	inf	False	False	1		
155.1065	12.538	2435	0.53	0.5	False	False	1		
155.107	2.482	1577	0.0	inf	False	False	1		
155.1072	3.306	1086	0.0	inf	False	False	1		
155.1076	13.475	1705	0.0	inf	False	False	1		
155.1176	0.947	2060	0.0	inf	False	False	1		
155.1429	15.263	1184	0.0	inf	False	False	1		
155.1434	1.272	1097	0.0	inf	False	False	1		
155.1438	16.329	1111	0.0	inf	False	False	1		
155.1545	0.994	16238	0.84	4.0	False	False	1		
155.16	1.131	1042	0.0	inf	False	False	1		
156.0414	1.085	2696	0.0	inf	False	False	1		
156.0416	1.225	1722	0.0	inf	False	False	1		
156.0432	0.947	2641	0.0	inf	False	False	1		
156.1375	15.358	1177	0.0	inf	False	False	1		
156.138	13.192	1327	0.0	inf	False	False	1		
156.1385	1.827	1062	0.0	inf	False	False	1		
156.1386	2.152	1863	0.0	inf	False	False	1		
156.1386	18.993	1245	0.0	inf	False	False	1		
156.1388	0.994	6240	0.61	1.0	False	False	1		
156.1388	15.925	1031	0.0	inf	False	False	1		
156.1389	10.259	1015	0.0	inf	False	False	1		
156.1398	3.306	1828	0.0	inf	False	False	1		
156.9651	2.342	1314	0.0	inf	False	False	1		
157.0127	1.366	2564	0.0	inf	False	False	1		
157.0165	1.319	1529	0.0	inf	False	False	1		
157.0792	15.688	1277	0.0	inf	False	False	1		
157.0849	0.947	1008	0.0	inf	False	False	1		
157.1012	12.628	2445	0.0	inf	False	False	1		
157.1223	13.475	1484	0.0	inf	False	False	1		
157.1322	19.748	1050	0.0	inf	False	False	1		
157.1329	3.495	1170	0.0	inf	False	False	1		
157.133	6.481	1606	0.0	inf	False	False	1		
157.133	8.323	1278	0.24	1.0	False	False	1		
157.1331	0.571	1412	0.7	0.0	False	False	1		
157.1332	10.364	1197	0.0	inf	False	False	1		
157.1332	19.526	1129	0.0	inf	False	False	1		
157.1332	4.487	1125	0.0	inf	False	False	1		
157.1332	0.155	1145	0.0	inf	False	False	1		
157.1332	17.19	1524	0.0	inf	False	False	1		
157.1336	4.25	1143	0.0	inf	False	False	1		
157.1338	0.856	1293	0.56	99.0	False	False	1		
157.134	16.799	1562	0.0	inf	False	False	1		
157.134	17.115	1168	0.0	inf	False	False	1		
157.1341	16.668	1154	0.0	inf	False	False	1		
157.1343	16.937	1462	0.0	inf	False	False	1		
157.1343	18.948	1429	0.0	inf	False	False	1		
157.1344	2.821	1331	0.0	inf	False	False	1		
157.1344	18.76	1230	0.0	inf	False	False	1		
157.1344	19.283	1257	0.0	inf	False	False	1		
