m/z	RT	isotope_state	is_isotope	is_in_source_fragment	MS2	P_RT-A1	P_RT-A2
650.4793	3.493	M+0	False	False	184.0762;0.9335|185.077;0.0665	14789906	14489765
538.3537	1.393	M+0	False	False	184.077;0.9437|185.0774;0.0563	14576981	14243514
454.2592	1.026	M+0	False	False	184.0743;0.9058|184.1424;0.0215|185.0764;0.0727	14515989	14314403
688.6067	14.038	M+0	False	False	161.1339;0.0113|233.2278;0.0077|243.21;0.0114|257.2272;0.0089|369.3558;0.7031|370.362;0.2164|371.3595;0.0411	14345854	13248268
758.5734	5.979	M+0	False	False	184.0771;0.9292|185.0771;0.0604|186.0785;0.0104	14179013	14042598
678.5106	4.409	M+0	False	False	184.0769;0.9556|185.0776;0.0444	14092257	13733633
760.5891	7.104	M+0	False	False	184.0766;0.9584|185.0766;0.0416	13973595	14033451
790.6362	10.412	M+0	False	False	184.0769;0.936|185.0776;0.0527|186.078;0.0113	13721835	13190634
642.6069	12.454	M+0	False	False	267.2693;0.0115|285.2806;0.0062|341.3114;0.5041|341.4015;0.011|342.3125;0.1376|343.3128;0.0151|607.5726;0.188|608.5778;0.1047|609.5762;0.0218	13184342	13473697
788.6207	8.668	M+0	False	False	184.0766;0.9177|184.1428;0.0201|185.0779;0.0495|186.0776;0.0127	13308089	13365306
594.4163	2.1	M+0	False	False	184.0763;0.9236|185.0766;0.065|186.0783;0.0113	13313364	13317487
622.4479	2.703	M+0	False	False	184.0772;0.9367|185.0775;0.0633	11799641	11880756
1319.2397	14.896	M+0	False	False	161.1326;0.0143|233.2262;0.0074|243.2104;0.0084|369.3534;0.7139|370.3606;0.236|371.3582;0.02	11608860	11577685
1320.2436	14.896	M+1	True	False	161.1331;0.013|175.1474;0.0056|229.195;0.0055|243.2107;0.0064|257.2273;0.0076|369.3567;0.5452|370.3604;0.356|371.3608;0.0607	11429882	11478249
689.6098	14.038	M+1	True	False	161.1334;0.0073|165.1637;0.0056|175.1499;0.0094|189.1654;0.0061|205.1941;0.006|233.2271;0.0069|243.2139;0.0104|257.2286;0.012|259.2435;0.0067|369.3552;0.3238|369.462;0.0261|370.3607;0.4569|370.4624;0.0152|371.3656;0.0928|372.3623;0.0061|672.5806;0.0088	8938761	7710730
756.5575	5.19	M+0	False	False	184.0771;0.9621|185.0775;0.0379	8923023	8345070
614.5751	11.856	M+0	False	False	313.2767;0.0645|314.2773;0.0157|341.3124;0.0753|342.3097;0.0174|579.5426;0.4908|580.5426;0.2413|580.5929;0.0169|580.6733;0.0128|581.5488;0.058|582.545;0.0075	7620351	7454747
759.5764	5.947	M+1	True	False	184.0766;0.8235|184.1431;0.014|185.0794;0.1471|186.0788;0.0153	7406320	7447666
761.5919	7.104	M+1	True	False	184.0765;0.8373|185.0776;0.1404|186.0783;0.0223	7232674	7408269
791.6391	10.412	M+1	True	False	184.0769;0.823|184.1435;0.0191|185.0796;0.1392|186.0794;0.0187	7258705	6969504
789.6234	8.668	M+1	True	False	184.0771;0.826|185.0795;0.1618|186.079;0.0121	6995907	7104222
651.482	3.493	M+1	True	False	184.0763;0.7895|185.079;0.1851|186.0774;0.0253	7028322	6689912
643.6097	12.454	M+1	True	False	341.311;0.2443|341.4114;0.0109|342.3134;0.2779|342.4239;0.0187|343.315;0.0464|607.5698;0.0082|608.5743;0.2772|608.6982;0.0249|609.5776;0.0799|609.6289;0.0067|610.573;0.0049	6393148	6732684
679.5132	4.409	M+1	True	False	184.0757;0.8185|185.0796;0.1512|186.0784;0.0303	6345703	6275674
1321.2461	14.896	M+2	True	False	671.5761;0.4198|671.6281;0.0348|672.5805;0.3881|673.5829;0.1574	6147870	6174467
668.6371	14.938	M+0	False	False	161.1333;0.0263|233.2272;0.014|243.2106;0.0135|245.2264;0.0107|369.3554;0.5836|369.4601;0.0457|370.3628;0.2708|371.3596;0.0354	5439951	5417032
539.356	1.393	M+1	True	False		5072555	4858051
595.4188	2.134	M+1	True	False	184.0758;0.7422|184.143;0.017|185.078;0.2018|186.078;0.0389	5032475	5025505
623.4501	2.703	M+1	True	False		4504894	4505476
757.5597	5.19	M+1	True	False	184.0771;0.7833|184.1435;0.018|185.0808;0.1628|186.0782;0.028|497.3482;0.0079	4184121	3877278
455.2614	1.026	M+1	True	False		3863668	3850691
354.4108	1.813	M+0	False	False	198.2216;0.0607|200.2398;0.8026|201.241;0.1368	3269124	3059904
615.5775	11.856	M+1	True	False	607.4391;1.0	3057555	3021570
669.6398	14.896	M+1	True	False	369.3542;0.2951|370.3576;0.4542|371.3594;0.2507	2685360	2709127
