m/z	RT	peak_height	Gaussian_similarity	asymmetry_factor	is_isotope	is_in_source_fragment	charge	MS2	MS2_scan_id
150.0275	16.049	1092	0.64	0.0	False	False	1		
150.0278	1.311	1265	0.0	inf	False	False	1		
150.0368	15.798	1506	0.0	inf	False	False	1		
150.037	15.544	1206	0.0	inf	False	False	1		
150.0375	16.312	1261	0.0	1.0	False	False	1		
150.0376	16.173	1041	0.0	inf	False	False	1		
150.0377	14.365	1414	0.0	inf	False	False	1		
150.0378	15.987	1387	0.0	inf	False	False	1		
150.0379	15.127	1052	0.0	inf	False	False	1		
150.0388	11.998	1151	0.0	inf	False	False	1		
150.0388	15.269	1158	0.0	inf	False	False	1		
150.0391	19.23	1207	0.0	inf	False	False	1		
150.0394	13.522	1048	0.65	0.0	False	False	1		
150.0402	14.754	1063	0.0	inf	False	False	1		
150.0559	0.908	2695	0.0	inf	False	False	1		
150.0921	0.945	4719	0.0	inf	False	False	1		
151.0142	7.982	1129	0.0	inf	False	False	1		
151.0154	4.605	4741	0.88	3.0	False	False	1		
151.0156	6.214	1310	0.57	0.0	False	False	1		
151.0156	4.285	8443	0.91	0.11	False	False	1		
151.0157	2.564	3025	0.0	inf	False	False	1		
151.016	1.867	6259	0.0	inf	False	False	1		
151.016	1.961	6371	0.0	inf	False	False	1		
151.0161	2.422	3295	0.0	inf	False	False	1		
151.0161	2.887	2239	0.81	99.0	False	False	1		
151.0162	1.635	6730	0.91	2.0	False	False	1		
151.0163	4.837	2392	0.71	1.0	False	False	1		
151.0165	5.03	2010	0.0	inf	False	False	1		
151.0228	4.191	1331	0.0	inf	False	False	1		
151.0247	1.729	1325	0.0	inf	False	False	1		
151.0758	12.363	1002	0.0	inf	False	False	1		
151.0765	16.312	1008	0.0	inf	False	False	1		
151.096	18.225	1099	0.0	inf	False	False	1		
151.0962	8.286	1119	0.0	inf	False	False	1		
151.0963	1.681	1358	0.0	inf	False	False	1		
151.0964	12.199	1020	0.0	inf	False	False	1		
151.0968	19.11	1086	0.67	0.0	False	False	1		
151.0969	17.726	1055	0.0	inf	False	False	1		
151.0974	4.238	1254	0.0	inf	False	False	1		
151.0974	6.558	1042	0.67	0.0	False	False	1		
151.0975	0.736	1408	0.0	inf	False	False	1		
151.0975	16.669	1204	0.0	inf	False	False	1		
151.0976	11.403	1040	0.0	inf	False	False	1		
151.0977	19.415	1412	0.64	99.0	False	False	1		
151.0977	17.407	1055	0.0	inf	False	False	1		
151.0979	9.33	1090	0.55	0.0	False	False	1		
151.0981	16.312	1022	0.65	0.0	False	False	1		
151.0982	3.122	1340	0.66	99.0	False	False	1		
151.1106	18.225	1010	0.0	inf	False	False	1		
151.1125	19.78	1054	0.0	inf	False	False	1		
151.1135	16.834	1252	0.0	inf	False	False	1		
151.114	2.422	1034	0.0	inf	False	False	1		
151.1484	13.901	1322	0.0	inf	False	False	1		
152.071	0.908	9560	0.31	0.5	False	False	1		
152.0795	0.908	1677	0.0	inf	False	False	1		
152.1067	16.282	1018	0.0	inf	False	False	1		
153.0772	5.853	1001	0.0	inf	False	False	1		
153.0891	5.758	1279	0.0	inf	False	False	1		
153.0904	16.646	1274	0.0	inf	False	False	1		
153.0905	15.327	1007	0.0	inf	False	False	1		
153.0908	18.162	1200	0.0	inf	False	False	1		
153.0909	16.312	1104	0.0	inf	False	False	1		
153.0913	3.917	1161	0.0	inf	False	False	1		
153.0917	0.844	1576	0.0	inf	False	False	1		
153.0924	18.701	1442	0.0	inf	False	False	1		
153.0925	3.17	1094	0.0	inf	False	False	1		
153.1018	0.725	1168	0.0	inf	False	False	1		
