m/z	RT
758.5694	7.394
765.6162	8.434
666.6185	18.037
786.601	8.762
782.5693	7.149
496.3394	2.001
759.5718	7.394
874.7858	17.791
760.5857	8.407
766.6191	8.434
876.8014	18.092
723.5697	8.762
667.6214	18.037
787.6038	8.762
617.5874	11.125
524.3707	2.605
541.5382	8.216
783.5718	7.149
855.8168	18.092
671.6525	18.393
369.3515	18.037
703.5748	6.876
810.601	8.543
875.7885	17.791
372.37	18.393
784.5852	7.75
877.8046	18.092
872.7701	17.464
362.3309	2.849
859.606	6.383
1316.2067	18.037
1315.2038	18.037
527.3862	2.114
761.5889	8.407
771.5901	6.63
848.7702	17.737
391.284	3.598
856.8202	18.092
523.5276	8.216
1325.2704	18.393
724.5729	8.762
902.817	18.147
497.3424	2.001
690.6184	17.819
850.7862	18.092
784.5851	7.53
806.5689	6.821
1082.0696	8.243
900.8012	17.846
873.7729	17.464
760.5748	7.394
672.656	18.393
618.5905	11.125
811.604	8.543
369.3517	18.393
379.3574	2.849
485.3394	2.191
704.5774	6.875
1326.2747	18.393
542.5413	8.216
785.5881	7.75
522.3554	2.111
1317.2099	18.037
860.6085	6.383
849.7733	17.737
846.7544	17.382
1083.0726	8.243
812.617	9.118
788.6168	9.832
903.82	18.147
767.6221	8.434
1324.2637	18.393
525.3736	2.605
344.3204	2.849
901.804	17.846
788.6069	8.762
782.569	6.52
372.37	7.067
338.3417	4.369
668.6249	18.037
1323.2573	18.393
851.7895	18.092
898.7856	17.491
822.7547	17.71
668.6345	18.42
784.5747	7.149
1322.2533	18.393
370.3548	18.037
265.2524	2.849
876.7917	17.791
772.5932	6.63
670.6461	18.393
813.6843	11.125
691.6216	17.819
520.3396	1.757
878.8079	18.092
384.3128	2.797
807.572	6.821
764.6107	8.434
785.5883	7.53
373.3736	18.393
371.364	18.393
811.6689	9.888
582.5498	11.098
808.5847	7.286
820.7388	17.354
847.7574	17.382
616.5816	11.125
787.6688	11.207
991.6714	2.001
899.7885	17.491
664.603	17.627
528.3894	2.114
524.531	8.243
242.2841	1.09
1327.2784	18.393
214.0896	23.105
854.811	18.092
834.6008	8.188
813.6199	9.118
363.3342	2.849
731.6066	8.27
680.4806	8.735
669.6382	18.42
789.6198	9.832
823.7579	17.71
663.4541	8.735
762.5919	8.407
582.55	6.63
1446.1326	8.707
857.8235	18.092
1296.2373	18.393
874.776	17.464
647.459	12.838
878.8171	18.393
783.5721	6.52
640.603	17.955
729.5907	7.093
780.5534	6.328
647.4588	12.92
814.6875	11.125
369.3514	15.269
392.2869	3.598
369.3513	15.187
369.3514	17.819
785.6538	9.888
870.7546	17.163
361.325	2.849
1084.0759	8.243
734.5697	8.243
896.77	17.163
1297.2412	18.393
1447.1361	8.735
526.3802	2.111
370.3554	18.393
1318.2136	18.037
725.576	8.762
821.742	17.354
371.3642	7.067
812.607	8.543
369.3511	15.406
812.6721	9.888
687.6474	16.834
809.5881	7.286
373.3742	7.067
367.336	15.406
992.6747	2.001
904.8328	18.42
850.7766	17.737
673.6595	18.393
786.5912	7.75
861.6113	6.383
766.575	7.75
698.6082	15.214
788.6721	11.207
904.8234	18.147
722.5638	8.762
486.3426	2.193
759.6382	9.696
523.3587	2.111
768.5905	7.997
665.6062	17.627
794.7232	17.3
732.554	7.093
902.8076	17.846
969.6712	2.193
705.5805	6.876
701.5597	5.804
879.8206	18.393
619.5938	11.125
835.6041	8.188
806.5691	6.328
380.3609	2.849
1217.1409	11.125
897.7729	17.163
898.7856	17.71
852.7928	18.092
230.2478	1.594
583.5535	11.07
498.3451	2.001
871.7577	17.163
808.5851	7.668
742.575	8.024
1321.2465	18.393
842.5797	6.383
862.7859	17.928
754.564	6.63
214.0896	22.733
774.5646	4.147
1289.1881	17.983
1379.183	15.214
732.61	8.27
582.5498	6.383
906.7761	15.79
1290.1916	17.955
681.484	8.735
761.5779	7.394
